nombre_uno;valor ;valor_comun;;;;;;;;;;
Benigna;197;1;;;;;;;;;;
Nelida Haydee;503;1;;;;;;;;;;
Lina;545;1;;;;;;;;;;
Mafalda;663;1;;;;;;;;;;
Victorina;380;1;;;;;;;;;;
Erminia;182;1;;;;;;;;;;
Cirilo;148;1;;;;;;;;;;
Martiniano;444;1;;;;;;;;;;
Lucila;332;1;;;;;;;;;;
America;101;1;;;;;;;;;;
Maria Agustina;220;1;;;;;;;;;;
Leontina;490;1;;;;;;;;;;
Serafin;477;1;;;;;;;;;;
Alberto JosÃ©;251;1;;;;;;;;;;
Lia Esther;251;1;;;;;;;;;;
Blanca Elsa;610;1;;;;;;;;;;
Eusebia;389;1;;;;;;;;;;
Blanca Lidia;456;1;;;;;;;;;;
Maria Estela;527;1;;;;;;;;;;
Bernardina;378;1;;;;;;;;;;
Modesta;687;1;;;;;;;;;;
Ursulina;406;1;;;;;;;;;;
Ignacia;288;1;;;;;;;;;;
Pierina;250;1;;;;;;;;;;
Fortunata;540;1;;;;;;;;;;
Victor Manuel;233;1;;;;;;;;;;
Maria de los Angeles;691;1;;;;;;;;;;
Veronica;573;1;;;;;;;;;;
Guillerma;451;1;;;;;;;;;;
Juan Alberto;619;1;;;;;;;;;;
Candelaria;141;1;;;;;;;;;;
Antonina;221;1;;;;;;;;;;
Jose Angel;237;1;;;;;;;;;;
Israel;379;1;;;;;;;;;;
Carlos Manuel;224;1;;;;;;;;;;
Nestor;191;1;;;;;;;;;;
Carlos Jose;501;1;;;;;;;;;;
Velia;499;1;;;;;;;;;;
Mauricia;213;1;;;;;;;;;;
Ambrosio;581;1;;;;;;;;;;
Horacio;538;1;;;;;;;;;;
Adolfina;353;1;;;;;;;;;;
Zulema Mercedes;497;1;;;;;;;;;;
Dionicia;507;1;;;;;;;;;;
Maria Del Rosario;392;1;;;;;;;;;;
Bernardino;390;1;;;;;;;;;;
Maria Susana;284;1;;;;;;;;;;
Renato;639;1;;;;;;;;;;
Hector Antonio;310;1;;;;;;;;;;
Italia;548;1;;;;;;;;;;
Hector Abel;676;1;;;;;;;;;;
Rosa Nelida;493;1;;;;;;;;;;
Juana Pabla;313;1;;;;;;;;;;
Amadeo;643;1;;;;;;;;;;
Rosa Francisca;373;1;;;;;;;;;;
Onofre;597;1;;;;;;;;;;
Felicidad;619;1;;;;;;;;;;
Jacobo;171;1;;;;;;;;;;
Maria Salome;405;1;;;;;;;;;;
Benita;378;1;;;;;;;;;;
Luis Alberto;431;1;;;;;;;;;;
Edith;451;1;;;;;;;;;;
Otilia;381;1;;;;;;;;;;
Maria Leonor;602;1;;;;;;;;;;
Isaura;542;1;;;;;;;;;;
Segundo;530;1;;;;;;;;;;
Maria Ramona;300;1;;;;;;;;;;
Maria Rosario;215;1;;;;;;;;;;
Guillermina;101;1;;;;;;;;;;
Catalina Magdalena;258;1;;;;;;;;;;
Cesar;522;1;;;;;;;;;;
Juan Bernardo;187;1;;;;;;;;;;
Rogelia;287;1;;;;;;;;;;
Irma Esther;110;1;;;;;;;;;;
Rosalina;134;1;;;;;;;;;;
Clara Maria;452;1;;;;;;;;;;
Nelida Rosa;117;1;;;;;;;;;;
Adalberto Ernesto;349;1;;;;;;;;;;
Dora Esther;225;1;;;;;;;;;;
Pabla;379;1;;;;;;;;;;
Eliseo;528;1;;;;;;;;;;
Cayetano;585;1;;;;;;;;;;
Abel;193;1;;;;;;;;;;
Nicanor;468;1;;;;;;;;;;
Nelida Del Carmen;455;1;;;;;;;;;;
Salomon;336;1;;;;;;;;;;
Maria Natividad;322;1;;;;;;;;;;
Robustiano;233;1;;;;;;;;;;
Raul Antonio;173;1;;;;;;;;;;
Hipolito;117;1;;;;;;;;;;
Francisco JosÃ©;198;1;;;;;;;;;;
Prudencia;113;1;;;;;;;;;;
Ema;258;1;;;;;;;;;;
Maximo;382;1;;;;;;;;;;
Anselma;463;1;;;;;;;;;;
Jorgelina;504;1;;;;;;;;;;
Lucinda;117;1;;;;;;;;;;
Angela Teresa;672;1;;;;;;;;;;
Maria Hortencia;459;1;;;;;;;;;;
Marcelo Argentino;131;1;;;;;;;;;;
MarÃ­a Herminia;592;1;;;;;;;;;;
Eduardo Luis;463;1;;;;;;;;;;
Azucena;573;1;;;;;;;;;;
Electra;418;1;;;;;;;;;;
Matias;654;1;;;;;;;;;;
Maria Zulema;202;1;;;;;;;;;;
Elisa Dora;272;1;;;;;;;;;;
Diego;422;1;;;;;;;;;;
Raimundo;678;1;;;;;;;;;;
Anibal;208;1;;;;;;;;;;
Maria Clementina;367;1;;;;;;;;;;
Elsa Ana;109;1;;;;;;;;;;
Nelida Noemi;635;1;;;;;;;;;;
Luisa Nieve;346;1;;;;;;;;;;
Gertrudis;466;1;;;;;;;;;;
Paulino;246;1;;;;;;;;;;
Nelly Stella;436;1;;;;;;;;;;
Carlos Ernesto;339;1;;;;;;;;;;
Angela Antonia;427;1;;;;;;;;;;
Pedro JosÃ©;628;1;;;;;;;;;;
Elena Ana;232;1;;;;;;;;;;
Inmaculada;252;1;;;;;;;;;;
Clemente;304;1;;;;;;;;;;
Elvira Irene;683;1;;;;;;;;;;
Ines Elvira;395;1;;;;;;;;;;
Luisa Esther;584;1;;;;;;;;;;
Celia Inocencia;225;1;;;;;;;;;;
Maria Irene;630;1;;;;;;;;;;
Avelino;510;1;;;;;;;;;;
Carmen Maria;383;1;;;;;;;;;;
Ruth;550;1;;;;;;;;;;
Carmen Edith;386;1;;;;;;;;;;
Landa;498;1;;;;;;;;;;
Herminio;394;1;;;;;;;;;;
MarÃ­a AsunciÃ³n;466;1;;;;;;;;;;
Juana Lidia;177;1;;;;;;;;;;
Marcelo;651;1;;;;;;;;;;
Felicinda;372;1;;;;;;;;;;
MarÃ­a Lucia;287;1;;;;;;;;;;
Wolf;288;1;;;;;;;;;;
Maria Amelia;648;1;;;;;;;;;;
Lucio Ramon;640;1;;;;;;;;;;
Rosaria;152;1;;;;;;;;;;
Arminda;560;1;;;;;;;;;;
Elvira Rosa;225;1;;;;;;;;;;
Primitivo;578;1;;;;;;;;;;
Sebastian;270;1;;;;;;;;;;
Belisario;449;1;;;;;;;;;;
Bonifacio;626;1;;;;;;;;;;
Elsa Angelica;617;1;;;;;;;;;;
Blanca Estela;189;1;;;;;;;;;;
Sara Concepcion;200;1;;;;;;;;;;
Isidoro;612;1;;;;;;;;;;
Jose Florencio;647;1;;;;;;;;;;
Alicia Teresa;598;1;;;;;;;;;;
Maria Etelvina;162;1;;;;;;;;;;
Cirila Isidora;640;1;;;;;;;;;;
Guberlinda;684;1;;;;;;;;;;
Angel Jose;574;1;;;;;;;;;;
Luis Alfredo;508;1;;;;;;;;;;
Perla;231;1;;;;;;;;;;
Teresa Catalina;481;1;;;;;;;;;;
Irma Angelica;168;1;;;;;;;;;;
Trinidad;183;1;;;;;;;;;;
Elsa Carmen;573;1;;;;;;;;;;
Albino;254;1;;;;;;;;;;
Antonio Rosario;426;1;;;;;;;;;;
Delina;176;1;;;;;;;;;;
Silvia;508;1;;;;;;;;;;
Hilaria;515;1;;;;;;;;;;
Lucrecia;274;1;;;;;;;;;;
Crispina;315;1;;;;;;;;;;
Amalia Catalina;268;1;;;;;;;;;;
Silvia Elena;546;1;;;;;;;;;;
Modesto;618;1;;;;;;;;;;
Margarita MarÃ­a;249;1;;;;;;;;;;
Juana Esmeralda;318;1;;;;;;;;;;
Maria Paulina;556;1;;;;;;;;;;
Inocencio;184;1;;;;;;;;;;
Alfredo Emilio;363;1;;;;;;;;;;
Irma Elena;296;1;;;;;;;;;;
Jose Salvador;661;1;;;;;;;;;;
Elsa Maria;275;1;;;;;;;;;;
Carmen Dolores;233;1;;;;;;;;;;
Fanny;428;1;;;;;;;;;;
Luis Francisco;542;1;;;;;;;;;;
Tecla;300;1;;;;;;;;;;
Rafaela;188;1;;;;;;;;;;
Maria Carolina;395;1;;;;;;;;;;
Julia Elena;651;1;;;;;;;;;;
Benedicta;655;1;;;;;;;;;;
Jose Vito Antonio;355;1;;;;;;;;;;
Maria Nicolasa;409;1;;;;;;;;;;
Maria Nelida;477;1;;;;;;;;;;
Marciana;417;1;;;;;;;;;;
Anunciada;673;1;;;;;;;;;;
Ruben;320;1;;;;;;;;;;
Angelica Delia;402;1;;;;;;;;;;
Mauricio;484;1;;;;;;;;;;
Ana Teresa;320;1;;;;;;;;;;
Simon;158;1;;;;;;;;;;
Susana Elisa;197;1;;;;;;;;;;
Florinda Rosa;289;1;;;;;;;;;;
Dora Zulema;220;1;;;;;;;;;;
Barbara;370;1;;;;;;;;;;
Teresa Margarita;678;1;;;;;;;;;;
Adelmo Estanislao;334;1;;;;;;;;;;
Pedro Ruben;348;1;;;;;;;;;;
Juan Miguel;349;1;;;;;;;;;;
Carmen Rosa;222;1;;;;;;;;;;
Jose Francisco;578;1;;;;;;;;;;
Candida Rosa;391;1;;;;;;;;;;
Avelina;372;1;;;;;;;;;;
Eleuteria;493;1;;;;;;;;;;
Jose Domingo;609;1;;;;;;;;;;
Honoria;461;1;;;;;;;;;;
Maria Carmela;494;1;;;;;;;;;;
Catalina Maria;502;1;;;;;;;;;;
 Maria Esther;208;1;;;;;;;;;;
Jose Carlos;145;1;;;;;;;;;;
Maria Eva;448;1;;;;;;;;;;
Juan de Dios;367;1;;;;;;;;;;
Hector Jose;442;1;;;;;;;;;;
Rosa Esther;406;1;;;;;;;;;;
Noemi Luciana Renee;373;1;;;;;;;;;;
Elfe Amira;206;1;;;;;;;;;;
Oscar Enrique;207;1;;;;;;;;;;
Elsa Isabel Paula;637;1;;;;;;;;;;
Cleotilde;354;1;;;;;;;;;;
Jorge Adolfo;295;1;;;;;;;;;;
Nicomedes;341;1;;;;;;;;;;
Yolanda Leocadia;136;1;;;;;;;;;;
Bogdan;208;1;;;;;;;;;;
Nestor Justianiano;472;1;;;;;;;;;;
Renata;635;1;;;;;;;;;;
Marcial;352;1;;;;;;;;;;
Hector Raul;543;1;;;;;;;;;;
Blanca Lilia;219;1;;;;;;;;;;
Eleonora;562;1;;;;;;;;;;
Nahie;446;1;;;;;;;;;;
Ismael;319;1;;;;;;;;;;
Angela Josefa;302;1;;;;;;;;;;
Cirila Esteher;373;1;;;;;;;;;;
Nelly;699;1;;;;;;;;;;
Susana Irma;484;1;;;;;;;;;;
Santiago Antonio;327;1;;;;;;;;;;
Patricia;151;1;;;;;;;;;;
Leonor Alejandrina;140;1;;;;;;;;;;
Nestor Jose;545;1;;;;;;;;;;
Florencio Anibal;411;1;;;;;;;;;;
Domingo Juan;455;1;;;;;;;;;;
Stefania;310;1;;;;;;;;;;
Emma Rosa;486;1;;;;;;;;;;
Eduardo Alberto;303;1;;;;;;;;;;
Elvira del Carmen;255;1;;;;;;;;;;
Eduardo Pedro;275;1;;;;;;;;;;
Jose Osvaldo;494;1;;;;;;;;;;
Maria Clara;516;1;;;;;;;;;;
Elsa Teresa;141;1;;;;;;;;;;
Dora Elsa;542;1;;;;;;;;;;
Teodoro;331;1;;;;;;;;;;
Tomas Joaquin;631;1;;;;;;;;;;
Irma Maria;669;1;;;;;;;;;;
Miguel Antonio;553;1;;;;;;;;;;
Jacinto;502;1;;;;;;;;;;
Gerardo Adolfo;115;1;;;;;;;;;;
Hilda;170;1;;;;;;;;;;
Claudia;369;1;;;;;;;;;;
Teresa Ilda;394;1;;;;;;;;;;
Marta Beatriz;564;1;;;;;;;;;;
Blanca Azucena;362;1;;;;;;;;;;
Blanca Carolina;547;1;;;;;;;;;;
Ema Del Carmen;300;1;;;;;;;;;;
 Isabel;665;1;;;;;;;;;;
Armando Juan;152;1;;;;;;;;;;
Luisa Isabel;406;1;;;;;;;;;;
Hermenegilda;689;1;;;;;;;;;;
Gustavo German Walter;157;1;;;;;;;;;;
Alfredo Jose;663;1;;;;;;;;;;
Juan Luis;438;1;;;;;;;;;;
Antonio Salvador;403;1;;;;;;;;;;
Samuel Abel;568;1;;;;;;;;;;
Blanca Iris;353;1;;;;;;;;;;
Rosa Delia;509;1;;;;;;;;;;
Maxima;446;1;;;;;;;;;;
Irma Leonor;662;1;;;;;;;;;;
Julia Ines;509;1;;;;;;;;;;
Corina;547;1;;;;;;;;;;
Juana Catalina;536;1;;;;;;;;;;
Angelica Dora;331;1;;;;;;;;;;
Teresa Victoria;455;1;;;;;;;;;;
Eduvigis;253;1;;;;;;;;;;
Zulema Maria;369;1;;;;;;;;;;
Guido;136;1;;;;;;;;;;
Margarita Antonia;563;1;;;;;;;;;;
Ricarda;534;1;;;;;;;;;;
Elena Dora;676;1;;;;;;;;;;
Ramon Armando;270;1;;;;;;;;;;
Primo;135;1;;;;;;;;;;
Delia Esther;254;1;;;;;;;;;;
Catalino;262;1;;;;;;;;;;
Esther Carmen;268;1;;;;;;;;;;
Eustaquia;604;1;;;;;;;;;;
Zulma Nydia;547;1;;;;;;;;;;
Amelia Esther;413;1;;;;;;;;;;
